store_name,igive_url,donation_rate
Fruit Bouquets by 1800Flowers.com,https://www.iGive.com/fruit-bouquets,2.4%
FTD,https://www.iGive.com/ftd,2.0%
FUL,https://www.iGive.com/ful,0.4%
Furbo Dog Camera,https://www.iGive.com/furbo,4.0%
Fuse Lenses,https://www.iGive.com/fuse-lenses,1.2%
Fyt,https://www.iGive.com/find-your-trainer,Special Rate
Gaby's Bags,https://www.iGive.com/gabys-bags,2.0%
Gaffos,https://www.iGive.com/gaffos,2.0%
Gainful,https://www.iGive.com/gainful,2.4%
Gallery Direct,https://www.iGive.com/gallery-direct,2.0%
GameFly,https://www.iGive.com/game-fly,2.0%
GamersGate.com,https://www.iGive.com/gamers-gate,2.0%
Gap Canada,https://www.iGive.com/Gap-Canada,1.6%
Gap Factory,https://www.iGive.com/gap-factory,1.6%
Gap.com,https://www.iGive.com/gap,1.6%
Gardyn,https://www.iGive.com/gardyn,1.6%
GDF Studio,https://www.iGive.com/gdf-studio,2.0%
Geekbuying,https://www.iGive.com/geekbuying,2.4%
GelPro,https://www.iGive.com/gelpro,2.0%
Gem-Water,https://www.iGive.com/gem-water,4.0%
Genuine Factory Parts,https://www.iGive.com/mtd-parts,1.6%
Georgia Boot,https://www.iGive.com/georgia-boot,4.0%
German Food Box,https://www.iGive.com/german-food-box,Special Rate
German Slippers,https://www.iGive.com/german-slippers,4.0%
GetSmarter,https://www.iGive.com/get-smarter,1.6%
Getz's,https://www.iGive.com/getzs,3.2%
Giant Food,https://www.iGive.com/giantfood,Special Rate
GiftCards,https://www.iGive.com/gift-cards,0.4%
GiftsForYouNow,https://www.iGive.com/gifts-for-you-now,5.2%
Gigi New York,https://www.iGive.com/gigi-ny,3.6%
Gilt,https://www.iGive.com/gilt,1.2%
Gilt City,https://www.iGive.com/gilt-city,1.2%
GlassesShop,https://www.iGive.com/GlassesShop,4.8%
GlassesUSA,https://www.iGive.com/glasses-usa,1.0%
GlobeIn,https://www.iGive.com/globein,8.0%
Glow Recipe,https://www.iGive.com/glow-recipe,2.8%
GNC,https://www.iGive.com/gnc,0.4%
Go City,https://www.iGive.com/gocity,1.2%
Go Daddy,https://www.iGive.com/go-daddy,2.0%
Goal Zero,https://www.iGive.com/goal-zero,2.0%
GoalieMonkey,https://www.iGive.com/goaliemonkey,0.8%
Godiva Chocolatier,https://www.iGive.com/godiva,0.4%
Gold Medal Wine Club,https://www.iGive.com/gold-medal-wine-club,4.0%
Good Sam Roadside Assistance,https://www.iGive.com/good-sam-roadside,0.8%
Good Vibrations,https://www.iGive.com/good-vibrations,4.0%
Goop,https://www.iGive.com/goop,1.6%
GoSkills,https://www.iGive.com/goskills,4.0%
GotPrint,https://www.iGive.com/gotprint,Special Rate
Gourmesso,https://www.iGive.com/gourmesso,4.0%
GourmetGiftBaskets.com,https://www.iGive.com/gourmet-gift-baskets,2.0%
GPC Smart,https://www.iGive.com/gpc,4.0%
Grailed,https://www.iGive.com/grailed,0.4%
Grande Cosmetics,https://www.iGive.com/grande-cosmetics,2.0%
Grassland Beef,https://www.iGive.com/grassland-beef,1.2%
GreaterGood Stores,https://www.iGive.com/greatergood,0.8%
Green Chef,https://www.iGive.com/chef.greenchef,Special Rate
Green Man Gaming,https://www.iGive.com/green-man-gaming,0.8%
GreenPan,https://www.iGive.com/greenpa,1.2%
Groundlink,https://www.iGive.com/groundlink,0.4%
Groupon,https://www.iGive.com/groupon,0.4%
Grove Collaborative,https://www.iGive.com/grov,2.0%
Grow Gorgeous,https://www.iGive.com/grow-gorgeous,2.4%
Gthic.com,https://www.iGive.com/gthic,4.8%
GUESS.com,https://www.iGive.com/shop.guess,1.6%
Guild Wars 2,https://www.iGive.com/buy.guildwars2,4.0%
H&R Block,https://www.iGive.com/hr-block,0.4%
H10 Hotels,https://www.iGive.com/H10 Hotels,1.6%
Haggar,https://www.iGive.com/haggar,2.0%
Hallelujah Diet,https://www.iGive.com/hallelujah-diet,6.0%
Hamilton Beach,https://www.iGive.com/hamilton-beach,2.4%
Hampden Clothing,https://www.iGive.com/hampden,2.4%
Handy,https://www.iGive.com/handy,Special Rate
Hanes,https://www.iGive.com/hanes,0.4%
Hansen Surfboards,https://www.iGive.com/hansen-surfboards,2.4%
Happsy,https://www.iGive.com/happsy,3.2%
Harry & David,https://www.iGive.com/harryanddavid,0.8%
Harry's,https://www.iGive.com/harrys,0.4%
Hartmann,https://www.iGive.com/hartmann,2.0%
Harvey Nichols,https://www.iGive.com/harvey-nichols,0.8%
Hatley,https://www.iGive.com/hatley,1.6%
Hawaii Coffee Company,https://www.iGive.com/hawaii-coffee,4.0%
HBX,https://www.iGive.com/hbx,1.2%
HDIS,https://www.iGive.com/hdis,4.0%
"Health, Fitness and Longevity",https://www.iGive.com/4hfl,6.0%
Health-Ade,https://www.iGive.com/health-ade,2.0%
Health-o-Meter,https://www.iGive.com/health o meter,3.2%
Health-o-Meter Nuyu,https://www.iGive.com/health o meter-nuyu,3.2%
HealthyBaby,https://www.iGive.com/healthybaby,1.6%
HearthSong,https://www.iGive.com/hearth-song,2.0%
Heartland Veterinary Supply,https://www.iGive.com/heartland-vet-supply,2.4%
Heist,https://www.iGive.com/heist,2.8%
HelloMolly,https://www.iGive.com/hello-molly,1.2%
Helmm,https://www.iGive.com/helmm,4.0%
Hemp Bombs,https://www.iGive.com/hemp-bombs,4.0%
Henry's,https://www.iGive.com/henrys,0.4%
HerRoom,https://www.iGive.com/herroom,1.6%
Herschel Supply Company,https://www.iGive.com/herschel,1.6%
Hertz,https://www.iGive.com/hertz,1.2%
Heshi,https://www.iGive.com/heshi,6.4%
Hickory Farms,https://www.iGive.com/hickory-farms,2.0%
Hidden 24,https://www.iGive.com/hidden24,Special Rate
Highlights For Children,https://www.iGive.com/highlights-catalog,1.6%
Hipstik Legwear,https://www.iGive.com/hipstik,4.4%
HisRoom,https://www.iGive.com/his-room,1.6%
HobbyTron,https://www.iGive.com/hobbytron,4.8%
HockeyMonkey,https://www.iGive.com/hockeymonkey,0.8%
Holabird Sports,https://www.iGive.com/holabird-sports,2.0%
Holiday Inn,https://www.iGive.com/holiday-inn,1.6%
Holiday Inn Express,https://www.iGive.com/hiexpress,1.6%
Holmes,https://www.iGive.com/Holmes,2.4%
Home Chef,https://www.iGive.com/homechef,Special Rate
Home Depot,https://www.iGive.com/homedepot,0.4%
Homesick Candles,https://www.iGive.com/homesick,2.4%
Horizon Fitness,https://www.iGive.com/horizon-fitness,2.0%
Horse.com,https://www.iGive.com/horse,1.6%
HorseLoverZ,https://www.iGive.com/HorseLoverZ,2.8%
HostPapa,https://www.iGive.com/hostpapa,6.0%
Hot Shot's Secret,https://www.iGive.com/hot-shots-secret,3.2%
Hot Topic,https://www.iGive.com/hot-topic,0.4%
Hotel Indigo,https://www.iGive.com/hotel-indigo,1.6%
Hotelogical,https://www.iGive.com/awin.hotelogical,1.2%
Hotelopia,https://www.iGive.com/hotelopia,2.0%
Hotels.com,https://www.iGive.com/Hotels,0.8%
Hover,https://www.iGive.com/hover,10.0%
HQhair,https://www.iGive.com/hqhair,2.0%
HRdirect,https://www.iGive.com/hrdirect,6.0%
HSN,https://www.iGive.com/hsn,3.2%
Hue,https://www.iGive.com/hue,0.4%
Hydrow,https://www.iGive.com/hydrow,1.2%
I Saw It First,https://www.iGive.com/isawitfirst,0.4%
i-Blason,https://www.iGive.com/i-blason,3.2%
IBEROSTAR USA,https://www.iGive.com/iberostar,2.8%
IBSformula,https://www.iGive.com/ibs-formula,6.0%
iCheapFlight,https://www.iGive.com/icheap-flight,Special Rate
IDENTILOCK,https://www.iGive.com/getidentilock,4.0%
iHerb,https://www.iGive.com/iherb,2.0%
IHG Hotels & Resorts,https://www.iGive.com/ihg,1.6%
Illy Cafe,https://www.iGive.com/illy,1.6%
ILoveDooney,https://www.iGive.com/i-love-dooney,1.6%
Impromptu Gourmet,https://www.iGive.com/impromptu-gourmet,1.6%
InkCartridges,https://www.iGive.com/ink-cartridges,6.4%
Inkopious,https://www.iGive.com/inkopious,4.0%
Insight Vacations,https://www.iGive.com/insight-vacations,2.0%
Instacart,https://www.iGive.com/instacart,Special Rate
Intechra Health,https://www.iGive.com/intechra-health,8.0%
Intego Mac Software,https://www.iGive.com/intego,20.0%
International Wine of the Month Club,https://www.iGive.com/International-Wine-of-the-Month-Club,Special Rate
Intimina,https://www.iGive.com/intimina,4.0%
Investintech,https://www.iGive.com/investintech,12.0%
Invigorated Water,https://www.iGive.com/invigorated-water,6.0%
iolo technologies,https://www.iGive.com/iolo,24.0%
iRobot,https://www.iGive.com/irobot,0.8%
ISA Professional,https://www.iGive.com/isa-professional,4.0%
Isle Casino Hotel Waterloo,https://www.iGive.com/isle-waterloo,2.0%
Isotonix,https://www.iGive.com/isotonix,2.0%
IWED Global,https://www.iGive.com/iwed,Special Rate
IWOOT,https://www.iGive.com/iwantoneofthose,0.4%
J&P Cycles,https://www.iGive.com/jp-cycles,0.8%
J. Crew Factory,https://www.iGive.com/factory.jcrew,1.2%
Jachs NY,https://www.iGive.com/jachs-ny,2.4%
Jack Rogers,https://www.iGive.com/jackrogers,2.0%
JacksonGalaxy.com,https://www.iGive.com/jackson-galaxy,3.2%
jAlbum,https://www.iGive.com/jalbum,4.0%
JanSport,https://www.iGive.com/jansport,0.8%
Jayson Home,https://www.iGive.com/jayson-home,2.4%
JCPenney,https://www.iGive.com/jcpenney,1.2%
JCWhitney,https://www.iGive.com/JC-Whitney,0.4%
JellyBuddy,https://www.iGive.com/jelly-buddy,0.8%
JerkFit,https://www.iGive.com/jerkfit,2.0%
Jetson,https://www.iGive.com/jetson,2.0%
Jewlr,https://www.iGive.com/jewlr,0.8%
JINsoon,https://www.iGive.com/jinsoon,1.6%
Jo Malone London,https://www.iGive.com/jo-malone,2.4%
Job Ready Programmer,https://www.iGive.com/job-ready,4.0%
JOE'S,https://www.iGive.com/joesjeans,2.0%
Joe's New Balance Outlet,https://www.iGive.com/joes-new-balance-outlet,0.8%
John Hardy Jewelry,https://www.iGive.com/john-hardy-jewelry,1.2%
Johnston & Murphy,https://www.iGive.com/johnston-murphy,2.8%
JosABank.com,https://www.iGive.com/jos-a-bank,1.2%
Journeys,https://www.iGive.com/journeys,2.4%
JTV Jewelry Television,https://www.iGive.com/jewelrytelevision,0.4%
JUARA Skincare,https://www.iGive.com/juara,4.0%
Jumpsport,https://www.iGive.com/jumpsport,0.8%
JunoActive,https://www.iGive.com/junoactive,1.2%
Just Blinds,https://www.iGive.com/just-blinds,0.8%
Just CBD,https://www.iGive.com/justcbd,7.2%
JustAnswer,https://www.iGive.com/just-answer,Special Rate
Justice,https://www.iGive.com/justice,2.0%
Kaplan MD,https://www.iGive.com/kaplan-md,4.0%
Kaplan Test Prep,https://www.iGive.com/kaplan,1.2%
Karl's Bait and Tackle,https://www.iGive.com/karls,Special Rate
Karmaloop,https://www.iGive.com/karmaloop,2.4%
Karuna,https://www.iGive.com/karuna,4.0%
Kat Von D Beauty,https://www.iGive.com/kat-von-d-beauty,2.4%
Kay Jewelers,https://www.iGive.com/kay,0.8%
Keds,https://www.iGive.com/keds,3.2%
Keeper Security,https://www.iGive.com/keeper-security,4.0%
Kenneth Cole,https://www.iGive.com/kenneth-cole,6.8%
Kerastase,https://www.iGive.com/kerastase-usa,2.4%
Kerastase Canada,https://www.iGive.com/kerastas,2.4%
Keto Cycle,https://www.iGive.com/keto-cycle,Special Rate
Keurig,https://www.iGive.com/keurig,1.6%
kidpik,https://www.iGive.com/kidpik,4.0%
Kids Foot Locker,https://www.iGive.com/kids-foot-locker,1.6%
KidsShoes by plae,https://www.iGive.com/kidsshoes,0.4%
Kiehl's,https://www.iGive.com/kiehls,3.2%
Kindred Bravely,https://www.iGive.com/kindred-bravely,0.4%
Kingsbottle,https://www.iGive.com/kingsbottle,2.0%
KitchenAid Major Appliances,https://www.iGive.com/kitchenaid,0.8%
KiwiCo,https://www.iGive.com/Kiwi-Crate,4.0%
Kiyonna Clothing,https://www.iGive.com/kiyonna,3.2%
Knights Inn,https://www.iGive.com/knights-inn,1.2%
Knose,https://www.iGive.com/knose,4.0%
Kohl's,https://www.iGive.com/kohls,1.2%
Koi Footwear,https://www.iGive.com/koi-footwear,0.4%
Kole Imports,https://www.iGive.com/kole-imports,1.2%
Kooding,https://www.iGive.com/kooding,2.8%
Kora,https://www.iGive.com/kora,2.4%
Korres,https://www.iGive.com/korres,2.0%
Kremp Florist,https://www.iGive.com/kremp,1.4%
Kuhl,https://www.iGive.com/kuhl,2.4%
Kut from the Kloth,https://www.iGive.com/kut,3.2%
Kwiat,https://www.iGive.com/kwiat,2.0%
L'Occitane,https://www.iGive.com/loccitane,1.0%
L.L. Bean,https://www.iGive.com/ll-bean,1.2%
La Roche Posay,https://www.iGive.com/la-roche-posay,3.2%
La Senza,https://www.iGive.com/la-senza,2.8%
Lab Series,https://www.iGive.com/lab-series,3.2%
Lacrosse Monkey,https://www.iGive.com/lacrosse-monkey,0.8%
Lancer,https://www.iGive.com/lancer,0.8%
Lands' End,https://www.iGive.com/landsend,1.6%
Lands' End Outfitters,https://www.iGive.com/business.landsend,3.2%
LaneBryant.com,https://www.iGive.com/lane-bryant,0.8%
Lattelier Store,https://www.iGive.com/lattelier,4.0%
Lauren Moshi,https://www.iGive.com/lauren-moshi,1.2%
Layla,https://www.iGive.com/layla,2.0%
LazyOne,https://www.iGive.com/lazyone,3.2%
Le Creuset,https://www.iGive.com/le-creuset,1.6%
Lebua Hotels & Resorts,https://www.iGive.com/lebua,2.0%
LED Equipped,https://www.iGive.com/led-equipped,2.8%
LegalZoom,https://www.iGive.com/legalzoom,2.0%
Legion Athletics,https://www.iGive.com/legion,2.4%
LELO,https://www.iGive.com/lelo,0.4%
Lenovo (Canada),https://www.iGive.com/lenovo-CA,1.2%
Lenovo US,https://www.iGive.com/lenovo,0.8%
Lensabl,https://www.iGive.com/lensabl,4.0%
LensPure,https://www.iGive.com/lens-pure,3.2%
Leonisa,https://www.iGive.com/leonisa,1.6%
Lepulse,https://www.iGive.com/lepulse,6.0%
Les Nereides,https://www.iGive.com/les-nereides,4.0%
Levenger,https://www.iGive.com/levenger,2.4%
Levi's,https://www.iGive.com/levi,0.8%
Lids.ca,https://www.iGive.com/lid,0.8%
Lids.com,https://www.iGive.com/lids,0.8%
Life Clothing Co.,https://www.iGive.com/life-clothing,8.0%
Life is Good,https://www.iGive.com/life-is-good,3.2%
Life Line Screening,https://www.iGive.com/life-line,Special Rate
LifeStride,https://www.iGive.com/lifestride,1.2%
LightInTheBox,https://www.iGive.com/Light-In-The-Box,3.2%
Lillian Vernon,https://www.iGive.com/lillian-vernon,1.2%
Lilly Pulitzer,https://www.iGive.com/lilly-pulitzer,0.4%
LILYSILK,https://www.iGive.com/lilysilk,3.2%
Lindt Chocolates,https://www.iGive.com/lindt,1.6%
LinensBargains,https://www.iGive.com/linens-bargains,3.2%
Link Interactive,https://www.iGive.com/link-interactive,Special Rate
Little Tikes,https://www.iGive.com/littletikes,1.4%
Little Words Project,https://www.iGive.com/little-words,2.0%
LittleMissMatched,https://www.iGive.com/littlemissmatched,4.0%
Living DNA,https://www.iGive.com/living-dna,2.8%
LOL Jerky,https://www.iGive.com/lol-jerky,6.4%
LOLShirts,https://www.iGive.com/LOL-shirts,2.0%
LOOK OPTIC,https://www.iGive.com/look-optic,1.6%
Lookfantastic,https://www.iGive.com/lookfantastic,0.4%
Looking4Parking,https://www.iGive.com/looking-4-parking,2.0%
Lorex Technology,https://www.iGive.com/Lorex-Technology,0.8%
Lovedbaby,https://www.iGive.com/lovedbaby,2.0%
Lovehoney,https://www.iGive.com/lovehoney,1.6%
LovelyWholesale,https://www.iGive.com/lovelywholesale,3.2%
Lucky Brand,https://www.iGive.com/lucky-brand,1.6%
Lucky Orange,https://www.iGive.com/lucky-orange,20.0%
Lugz,https://www.iGive.com/lugz,1.6%
Lula's Garden,https://www.iGive.com/lulas-garden,4.0%
Lumens,https://www.iGive.com/lumens,2.4%
Lumin,https://www.iGive.com/lumin,2.4%
Luvme Hair,https://www.iGive.com/luvme,2.0%
LuxeDH,https://www.iGive.com/luxe-dh,0.8%
Luxor Linens,https://www.iGive.com/luxor-linens,4.0%
Mackenzie Limited,https://www.iGive.com/mackenzie-limited,1.6%
MacPaw,https://www.iGive.com/mac-paw,20.0%
Macy's,https://www.iGive.com/Macy's,1.2%
Made By Hemp,https://www.iGive.com/made-by-hemp,6.0%
Madewell,https://www.iGive.com/madewell,0.6%
Magazine.co.uk,https://www.iGive.com/magazine-uk,Special Rate
Magazines.com,https://www.iGive.com/magazines,4.0%
Magellan's Travel Supplies,https://www.iGive.com/magellans,2.0%
MagicKitchen.com,https://www.iGive.com/magic-kitchen,4.0%
Magoosh,https://www.iGive.com/toefl.magoosh,3.2%
Maidenform,https://www.iGive.com/maidenform,0.4%
MAKANAI Japanese Pure Beauty,https://www.iGive.com/Makanai,6.0%
Mally Beauty,https://www.iGive.com/mally,3.2%
Manitoba Harvest,https://www.iGive.com/manitoba,2.4%
Mankind,https://www.iGive.com/Mankind,1.2%
Manuka Doctor,https://www.iGive.com/manuka-doctor,3.2%
Maps.com Shop,https://www.iGive.com/maps,4.0%
Marc Jacobs,https://www.iGive.com/marc-jacobs,0.4%
Marcelle,https://www.iGive.com/marcelle,2.4%
Margaritaville Cargo,https://www.iGive.com/margaritavillecargo,2.4%
Marika,https://www.iGive.com/marika,1.6%
Marimekko,https://www.iGive.com/marimekko,3.2%
Marks & Spencer,https://www.iGive.com/marks-and-spencer,0.8%
Mars Med Supply,https://www.iGive.com/mars-med,4.0%
Master of Project Academy,https://www.iGive.com/master-project,6.0%
Matisse Footwear,https://www.iGive.com/matisse,3.2%
Matt & Nat,https://www.iGive.com/matt-and-nat,1.6%
Mattress Firm,https://www.iGive.com/mattress-firm,2.0%
Mavi Jeans,https://www.iGive.com/mavi,1.6%
MaXpeedingrods,https://www.iGive.com/maxpeedingrods,4.0%
McAfee,https://www.iGive.com/home.mcafee,14.0%
MCM World Wide,https://www.iGive.com/MCM-World-Wide,0.8%
Mead,https://www.iGive.com/mead,2.2%
MEL Science,https://www.iGive.com/MEL-science,Special Rate
Melinda Maria Designs,https://www.iGive.com/melinda-maria,3.2%
Melissa and Doug,https://www.iGive.com/melissa-and-doug,2.4%
MELT Method,https://www.iGive.com/melt-method,4.0%
Men's Wearhouse,https://www.iGive.com/mens-wearhouse,1.2%
Michael Kors,https://www.iGive.com/michael-kors,0.8%
Michael Stars,https://www.iGive.com/michael-stars,2.0%
"Michaels Stores, Inc.",https://www.iGive.com/michaels,2.0%
Michele,https://www.iGive.com/michele,0.4%
Microbrewed Beer of the Month Club,https://www.iGive.com/beermonthclub,Special Rate
Microsoft Store Canada,https://www.iGive.com/microsoft,0.4%
Mighty Leaf Tea,https://www.iGive.com/mighty-leaf-tea,1.6%
MightyCall,https://www.iGive.com/mightycall,Special Rate
Mignon Faget,https://www.iGive.com/mignon-faget,0.4%
Mikasa.com,https://www.iGive.com/mikasa,2.4%
Miles Kimball,https://www.iGive.com/miles-kimball,2.4%
Millennium & Copthorne Hotels,https://www.iGive.com/millenniumcopthorne-hotels,1.2%
Mint Mobile,https://www.iGive.com/mint-mobile,Special Rate
Mio Skincare,https://www.iGive.com/Mio-Skincare,2.4%
Miracle Noodle,https://www.iGive.com/miracle-noodle,4.0%
Miraclesuit,https://www.iGive.com/miraclesuit,0.8%
Mission Farms CBD,https://www.iGive.com/mission-farms,6.0%
Mixbook,https://www.iGive.com/mixbook,2.4%
MLBshop,https://www.iGive.com/shop.mlb,0.8%
Modell's,https://www.iGive.com/modells,2.0%
Modern Bathroom,https://www.iGive.com/modern-bathroom,2.4%
Molton Brown,https://www.iGive.com/molton-brown,2.4%
Monica Vinader,https://www.iGive.com/monica-vinader,1.6%
Monoprice,https://www.iGive.com/monoprice,0.8%
Monthly Clubs,https://www.iGive.com/Monthly-Clubs,Special Rate
Montway Auto Transport,https://www.iGive.com/montway,Special Rate
MOO,https://www.iGive.com/moo,0.8%
Moonbow by Dubslabs,https://www.iGive.com/dubslabs,0.4%
Morris 4x4 Center,https://www.iGive.com/morris-center,1.6%
Mosaic Weighted Blankets,https://www.iGive.com/mosaic,3.6%
Motherhood Maternity,https://www.iGive.com/motherhood,0.8%
Motiv,https://www.iGive.com/motiv,3.6%
Motives Cosmetics,https://www.iGive.com/motives-cosmetics,2.0%
Mountain Warehouse,https://www.iGive.com/mountain-warehouse,2.0%
Movo Photo,https://www.iGive.com/movo-photo,4.0%
Mr. Peanut's Premium Products,https://www.iGive.com/mr-peanuts,4.0%
MSC Industrial Supply,https://www.iGive.com/msc-industrial,0.8%
Mugler,https://www.iGive.com/mugler,3.2%
MunchPak,https://www.iGive.com/munch-pak,4.0%
Murad Skin Care,https://www.iGive.com/murad,1.6%
Music & Arts,https://www.iGive.com/music-arts,0.4%
Musician's Friend,https://www.iGive.com/musicians-friend,0.4%
My Gift Stop,https://www.iGive.com/my-gift-stop,2.4%
My M&M's,https://www.iGive.com/mandms,2.4%
My Social Book,https://www.iGive.com/my-social-book,2.0%
My Wedding Favors,https://www.iGive.com/my-wedding-favors,4.8%
MyCleanPC,https://www.iGive.com/my-clean-pc,Special Rate
MyDevices,https://www.iGive.com/mydevices,Special Rate
Myprotein,https://www.iGive.com/myprotein,1.6%
MyTeaDrop,https://www.iGive.com/myteadrop,2.0%
Naadam,https://www.iGive.com/naada,1.2%
Naked Wines,https://www.iGive.com/naked-wines,Special Rate
Namecheap,https://www.iGive.com/name-cheap,8.0%
NARS Cosmetics,https://www.iGive.com/nars-cosmetics,1.6%
Nat Nast,https://www.iGive.com/nat-nast,3.2%
National Academy of Sports Medicine,https://www.iGive.com/nasm,4.0%
National Business Furniture,https://www.iGive.com/nationalbusinessfurniture,1.6%
National Car Rental,https://www.iGive.com/national-rental-car,0.8%
Native Pet,https://www.iGive.com/native-pet,2.4%
Natori,https://www.iGive.com/natori,2.4%
Natural Healthy Concepts,https://www.iGive.com/natural-healthy-concepts,2.4%
Naturalizer,https://www.iGive.com/naturalizer,1.2%
Naturalizer Canada,https://www.iGive.com/naturalize,1.2%
Naturepedic,https://www.iGive.com/naturepedic,2.4%
Nautica,https://www.iGive.com/nautica,1.6%
Nautilus,https://www.iGive.com/nautilus,2.0%
Naylors Equestrian,https://www.iGive.com/naylors,2.0%
Nearly Natural,https://www.iGive.com/nearly-natural,2.0%
Nectar Bath Treats,https://www.iGive.com/nectar-bath,2.0%
Nectar Sunglasses,https://www.iGive.com/nectar-sunglasses,3.6%
Neiman Marcus,https://www.iGive.com/neiman-marcus,0.8%
Net10 Wireless,https://www.iGive.com/net10affiliates,2.0%
Neuro,https://www.iGive.com/deal.neurogum,4.0%
New Balance,https://www.iGive.com/new-balance,0.8%
New York Comedy,https://www.iGive.com/newyorkcomedy,2.8%
Newegg,https://www.iGive.com/newegg,0.4%
Newegg Canada,https://www.iGive.com/neweg,0.2%
NeweggBusiness,https://www.iGive.com/neweggbusiness,0.4%
Nextdoor,https://www.iGive.com/nextdoor,Special Rate
NFL+,https://www.iGive.com/nfl,0.8%
NFLShop.com,https://www.iGive.com/NFL-shop,0.8%
Nike.com,https://www.iGive.com/nike,2.4%
Nina Shoes,https://www.iGive.com/nina-shoes,6.0%
Nine West,https://www.iGive.com/nine-west,1.2%
No nonsense,https://www.iGive.com/no-nonsense,4.0%
No7 Beauty,https://www.iGive.com/no7-beauty,2.4%
Nolo,https://www.iGive.com/nolo,10.0%
Nomadik,https://www.iGive.com/nomadik,6.0%
Nordgreen,https://www.iGive.com/nordgreen,4.0%
NordVPN,https://www.iGive.com/nordvpn,16.0%
North American Power,https://www.iGive.com/napower,Special Rate
NorthStyle,https://www.iGive.com/northstyle,2.0%
NortonLifelock,https://www.iGive.com/login.norton,8.0%
NOVICA,https://www.iGive.com/novica,2.4%
Nuleaf Naturals CBD,https://www.iGive.com/nuleaf,4.0%
Nunn Bush,https://www.iGive.com/nunn-bush,2.8%
Nunn Bush Canada,https://www.iGive.com/nunn-bush-canada,2.0%
Nutribullet,https://www.iGive.com/nutribullet,2.4%
Nutricost,https://www.iGive.com/nutricost,4.0%
Nutrisystem,https://www.iGive.com/nutrisystem,Special Rate
Nuuvem,https://www.iGive.com/nuuvem,1.2%
NuWave Oven,https://www.iGive.com/mynuwaveoven,4.0%
NYX Professional Makeup,https://www.iGive.com/nyx,3.2%
O.R.G. Skincare,https://www.iGive.com/org-skincare,8.0%
Oakley,https://www.iGive.com/oakley,2.4%
OCLU,https://www.iGive.com/oclu,4.0%
Ode a la Rose,https://www.iGive.com/ode-a-la-rose,4.0%
Office Depot and OfficeMax,https://www.iGive.com/officedepot,1.2%
Oki Oki,https://www.iGive.com/oki-oki,2.0%
Old Navy,https://www.iGive.com/old-navy,1.6%
Old Navy Canada,https://www.iGive.com/old-navy-canada,1.6%
OleHenriksen,https://www.iGive.com/olehenriksen,1.6%
Olight USA,https://www.iGive.com/olight,4.0%
Omaha Steaks,https://www.iGive.com/omaha-steaks,1.2%
One Hanes Place,https://www.iGive.com/one-hanes-place,0.4%
One Kings Lane,https://www.iGive.com/onekingslane,0.4%
OneBone,https://www.iGive.com/onebone,Special Rate
ONeillClothing.com,https://www.iGive.com/o-neill-clothing,0.8%
OnePlus,https://www.iGive.com/one-plus,1.2%
OneTravel,https://www.iGive.com/one-travel,Special Rate
Online Amish Furniture,https://www.iGive.com/online-amish-furniture,1.6%
Only Natural Pet,https://www.iGive.com/only-natural-pet,0.8%
Onyx Hospitality,https://www.iGive.com/onyx-hospitality,1.2%
Opencare,https://www.iGive.com/opencare,Special Rate
OpinionInn,https://www.iGive.com/opinioninn,Special Rate
Optimum Nutrition,https://www.iGive.com/optimum-nutrition,3.2%
Opulent Organics CBD,https://www.iGive.com/opulent-organics,8.0%
Orbitz,https://www.iGive.com/orbitz,0.8%
Organic Baby Food,https://www.iGive.com/organic-baby-food,4.0%
Oriental Trading,https://www.iGive.com/oriental-trading,1.6%
Orig3n DNA Tests,https://www.iGive.com/orig3n,10.0%
Origins Canada,https://www.iGive.com/origin,2.4%
Origins.com,https://www.iGive.com/origins,0.4%
Oster,https://www.iGive.com/Oster,2.4%
Oster Professional Products,https://www.iGive.com/osterpro,2.4%
OtterBox,https://www.iGive.com/otterbox,2.4%
Ouidad,https://www.iGive.com/ouidad,1.6%
Outdoor Gear Exchange,https://www.iGive.com/gearx,2.4%
Overnight Glasses,https://www.iGive.com/overnight-glasses,Special Rate
Overstock.com,https://www.iGive.com/overstock,0.8%
Overton's,https://www.iGive.com/overtons,0.8%
PacSun,https://www.iGive.com/pacsun,0.4%
PalmBeach Jewelry,https://www.iGive.com/palm-beach,2.8%
Paper Mart,https://www.iGive.com/paper-mart,1.2%
Parachute Home,https://www.iGive.com/parachute-home,1.6%
Parallels,https://www.iGive.com/parallels,6.0%
Paravel,https://www.iGive.com/paravel,3.2%
Paris City Vision,https://www.iGive.com/paris-city-vision,3.2%
ParkSleepFly,https://www.iGive.com/park-sleep-fly,Special Rate
Parts Geek,https://www.iGive.com/parts-geek,2.0%
Patagonia,https://www.iGive.com/patagonia,3.2%
Patagonia Provisions,https://www.iGive.com/patagonia-provisions,3.2%
PatchMD,https://www.iGive.com/PatchMD,3.2%
PatPat,https://www.iGive.com/patpat,2.0%
Patrick Ta Beauty,https://www.iGive.com/patrick-ta,3.2%
Paul Fredrick Menstyle,https://www.iGive.com/menstyle,3.2%
Paula's Choice,https://www.iGive.com/paulas-choice,2.8%
pCloud,https://www.iGive.com/pcloud,0.4%
Pedro Shoes,https://www.iGive.com/pedro-shoes,2.0%
Peet's Coffee,https://www.iGive.com/peets,0.8%
Penningtons,https://www.iGive.com/penningtons,1.6%
