store_name,igive_url,donation_rate
Cardboard Cutout Standees,https://www.iGive.com/cardboard-cutout,1.2%
CardCash,https://www.iGive.com/card-cash,0.8%
Carhartt,https://www.iGive.com/carhartt,0.4%
Carl's Golfland,https://www.iGive.com/carls-golfland,1.6%
Carmel Car & Limo,https://www.iGive.com/carmel-car,3.0%
Carmen Sol,https://www.iGive.com/carmen-sol,2.0%
Carol's Daughter,https://www.iGive.com/carols-daughter,3.2%
Carolina,https://www.iGive.com/Carolina,1.6%
Carter's,https://www.iGive.com/carters,0.8%
Casetify,https://www.iGive.com/casetify,2.0%
Cashmere Boutique,https://www.iGive.com/cashmere-boutique,2.8%
Cat Footwear,https://www.iGive.com/cat-footwear,2.8%
Cats Play,https://www.iGive.com/cats-play,2.4%
Caudalie,https://www.iGive.com/caudalie,0.8%
Caudalie CA,https://www.iGive.com/ca-en.caudalie,1.6%
CBDistillery,https://www.iGive.com/cbdistillery,8.0%
Certified Piedmontese,https://www.iGive.com/piedmontese,6.0%
Chacos,https://www.iGive.com/chaco,3.2%
Chadwicks of Boston,https://www.iGive.com/chadwicks,2.0%
Champion,https://www.iGive.com/champion,3.2%
Chantelle Lingerie,https://www.iGive.com/chantelle,3.2%
Char-Broil,https://www.iGive.com/char-broil,0.4%
Charles Tyrwhitt,https://www.iGive.com/charles-tyrwhitt,0.8%
Charlotte Russe,https://www.iGive.com/charlotterusse,0.8%
cheapOair,https://www.iGive.com/cheapoair,Special Rate
cheapOair Canada,https://www.iGive.com/cheapoai,Special Rate
CheapTickets,https://www.iGive.com/cheap-tickets,0.4%
Checks In The Mail,https://www.iGive.com/checks-in-the-mail,6.4%
CheckWorks,https://www.iGive.com/check-works,10.0%
Cheesecake,https://www.iGive.com/cheesecake,2.0%
Cheryl's,https://www.iGive.com/cheryls,2.4%
Chesapeake Bay Crab Cakes & More,https://www.iGive.com/cbcrabcakes,1.6%
Chess Bazaar,https://www.iGive.com/chess-bazaar,2.0%
Chewy,https://www.iGive.com/chewy,0.4%
Chewy Canada,https://www.iGive.com/https://chewy.co,3.2%
Chicago Steak Company,https://www.iGive.com/chicago-steak-company,3.2%
Chico's,https://www.iGive.com/chicos,1.6%
Chippin,https://www.iGive.com/chippin,8.0%
Chrome Battery,https://www.iGive.com/chrome-battery,4.0%
Chupi,https://www.iGive.com/chupi,4.0%
Circus Circus Reno,https://www.iGive.com/Circus-circus,2.0%
CitizenM,https://www.iGive.com/citizen-m,2.4%
Clark's Botanicals,https://www.iGive.com/clarks-botanicals,10.8%
Clarks,https://www.iGive.com/clarks,1.6%
Clinique Online,https://www.iGive.com/clinique,1.6%
COACH,https://www.iGive.com/coach,0.8%
CocoaVia,https://www.iGive.com/cocoavia,3.2%
Cocoon by Sealy,https://www.iGive.com/Cocoon-by-Sealy,2.8%
Coffee.org,https://www.iGive.com/coffee,2.4%
Cole Haan,https://www.iGive.com/colehaan,0.8%
Colorful Images,https://www.iGive.com/colorful-images,1.2%
Columbia Sportswear,https://www.iGive.com/columbia,2.0%
Concealment Express,https://www.iGive.com/concealment-express,3.0%
Conn's HomePlus,https://www.iGive.com/conns,1.6%
Conrad,https://www.iGive.com/conrad-hotels,0.4%
Contiki,https://www.iGive.com/contiki,2.0%
Contorno Belts,https://www.iGive.com/contorno-belts,12.0%
Cookies by Design,https://www.iGive.com/cookies-by-design,2.0%
Cooper's Cask Coffee,https://www.iGive.com/coopers-cask-coffee,4.0%
Corel Software,https://www.iGive.com/corel-software,4.0%
Cos Bar,https://www.iGive.com/cos-bar,0.8%
COSMEDIX,https://www.iGive.com/cosmedix,3.2%
Cotopaxi,https://www.iGive.com/cotopaxi,2.4%
Country Inns & Suites By Radisson,https://www.iGive.com/country-inns,2.4%
Country Store Catalog,https://www.iGive.com/countrystorecatalog,2.0%
Covers and All,https://www.iGive.com/covers-and-all,0.4%
Cricut,https://www.iGive.com/cricut,1.6%
Crocs Canada,https://www.iGive.com/croc,3.2%
Crocs.com,https://www.iGive.com/crocs,1.6%
Crowne Plaza,https://www.iGive.com/crowne-plaza,1.6%
CruiseDirect,https://www.iGive.com/cruise-direct,1.2%
Crutchfield.com,https://www.iGive.com/crutchfield,2.2%
Crystal Plus,https://www.iGive.com/crystal-plus,3.2%
Cub Cadet,https://www.iGive.com/cub-cadet,1.6%
Cupshe,https://www.iGive.com/cupshe,0.8%
Current Catalog,https://www.iGive.com/current-catalog,1.2%
