store_name,category,donation_rate,igive_url,actual_store_url
Beats by Dre,General Retail & Shopping,0.8%,https://www.iGive.com/beats-by-dre,https://www.beatsbydre.com
Beauty Encounter,"Health, Beauty & Personal Care",2.4%,https://www.iGive.com/beauty-encounter,https://beautyencounter.com
Beauty Plus Salon,"Health, Beauty & Personal Care",2.8%,https://www.iGive.com/beauty-plus-salon,https://www.beautyplussalon.com
bebe,General Retail & Shopping,1.2%,https://www.iGive.com/bebe,https://www.bebe.com
Because Market,General Retail & Shopping,6.0%,https://www.iGive.com/Because-Market,https://becausemarket.com
Bed Bath & Beyond,"Health, Beauty & Personal Care",0.8%,https://www.iGive.com/bedbathandbeyond,https://www.bedbathandbeyond.com
Beddingstyle.com,"Apparel, Shoes & Fashion",3.2%,https://www.iGive.com/bedding-style,https://www.revman.com
Beer Drop,General Retail & Shopping,2.0%,https://www.iGive.com/beer-drop,Manual Check Required
Beldt Labs,General Retail & Shopping,14.0%,https://www.iGive.com/beldt,https://www.beldtlabs.com
Belkin,General Retail & Shopping,2.4%,https://www.iGive.com/belkin,https://www.belkin.com
BELLA+CANVAS,General Retail & Shopping,4.0%,https://www.iGive.com/bella-canvas,https://www.bellacanvas.com
Bellesa Boutique,"Apparel, Shoes & Fashion",2.0%,https://www.iGive.com/bboutiqu,https://www.bboutiqu.com
BelleZeke,General Retail & Shopping,0.8%,https://www.iGive.com/belle-zeke,Manual Check Required
Belly Sleep,General Retail & Shopping,2.4%,https://www.iGive.com/belly-sleep,https://bellysleep.com
Benefit Cosmetics,"Health, Beauty & Personal Care",1.6%,https://www.iGive.com/benefit-cosmetics,https://www.benefit-cosmetics.com
Bergdorf Goodman,General Retail & Shopping,1.2%,https://www.iGive.com/bergdorf-goodman,Manual Check Required
Best Bully Sticks,General Retail & Shopping,1.2%,https://www.iGive.com/bestbullysticks,https://www.bestbullysticks.com
Best Cigar Prices,General Retail & Shopping,1.6%,https://www.iGive.com/best-cigar-prices,https://www.bestcigarprices.com
Best Western,General Retail & Shopping,1.2%,https://www.iGive.com/bestwestern,Manual Check Required
BestBuy.com,General Retail & Shopping,0.2%,https://www.iGive.com/best-buy,Manual Check Required
Betsey Johnson,General Retail & Shopping,1.2%,https://www.iGive.com/betsey-johnson,https://betseyjohnson.com
Better Braces,"Apparel, Shoes & Fashion",1.6%,https://www.iGive.com/betterbraces,https://www.donjoystore.com
Beyond Polish,General Retail & Shopping,0.8%,https://www.iGive.com/beyondpolish,https://www.beyondpolish.com
BFR Bands Store,General Retail & Shopping,4.0%,https://www.iGive.com/BFR-Bands,Manual Check Required
Big Island Coffee Roasters,"Food, Wine & Gifts",0.4%,https://www.iGive.com/Big-Island,https://www.big-island.com
Bijoux Indiscrets,General Retail & Shopping,4.0%,https://www.iGive.com/bijoux,https://www.bijoux.com
Binxy Baby,General Retail & Shopping,2.8%,https://www.iGive.com/binxy-baby,https://binxybaby.com
Bionaire,General Retail & Shopping,2.4%,https://www.iGive.com/bionaire,https://www.bionaire.com
Biotherm,General Retail & Shopping,2.4%,https://www.iGive.com/biotherm,https://www.biotherm.com
Biotherm Canada,General Retail & Shopping,2.4%,https://www.iGive.com/biother,https://www.biother.com
Birthday in a Box,General Retail & Shopping,1.2%,https://www.iGive.com/birthday-in-a-box,Manual Check Required
Bissell,General Retail & Shopping,2.0%,https://www.iGive.com/bissell,https://www.bissell.com
BizChair,"Health, Beauty & Personal Care",1.2%,https://www.iGive.com/biz-chair,https://www.bizchair.com
