store_name,igive_url,donation_rate,actual_store_url
DiscountMugs,https://www.iGive.com/discount-mugs,1.2%,https://www.discountmugs.com
Disney Movie Club,https://www.iGive.com/disney-movie-club,Special Rate,https://movies.disney.com
Disney Store,https://www.iGive.com/disney-store,0.8%,https://www.disneystore.com
Dollar Tree,https://www.iGive.com/dollartree,1.6%,Manual Check Required
DollarDays,https://www.iGive.com/dollar-days,1.2%,Manual Check Required
Dooney & Bourke,https://www.iGive.com/dooney,2.0%,https://www.dooney.com
Dr. Brandt Skincare,https://www.iGive.com/dr-brandt-skincare,0.8%,https://www.drbrandtskincare.com
Dr. Fuhrman,https://www.iGive.com/dr-fuhrman,4.0%,https://www.drfuhrman.com
Dr. Kellyann,https://www.iGive.com/dr-kellyann,6.0%,https://drkellyann.com
Dr. Scholl's Shoes,https://www.iGive.com/dr-scholls-shoes,4.8%,https://www.drschollsshoes.com
Draper's & Damon's,https://www.iGive.com/drapers,0.4%,Manual Check Required
Driftaway Coffee,https://www.iGive.com/driftaway-coffee,1.6%,https://store.driftaway.coffee
DTLR,https://www.iGive.com/dtlr,1.2%,https://www.dtlr.com
Duradry,https://www.iGive.com/duradry,2.0%,https://duradry.com
Durango Boots,https://www.iGive.com/durango-boots,4.0%,https://durangoboots.com
Dusit Hotels & Resorts + ASAI Hotels,https://www.iGive.com/dusit,1.6%,https://www.dusit.com
DX,https://www.iGive.com/dx,2.0%,https://mediaoptions.com
Dylan's Candy Bar,https://www.iGive.com/dylans-candy-bar,2.4%,https://www.dylanscandybar.com
e.l.f. (Eyes Lips Face),https://www.iGive.com/elf,2.8%,https://elf.com
Eagle Creek,https://www.iGive.com/eaglecreek,4.8%,https://eaglecreek.com
Eastern Mountain Sports,https://www.iGive.com/eastern-mountain-sports,2.0%,https://www.ems.com
Easy Spirit,https://www.iGive.com/easy-spirit,0.8%,https://easyspirit.com
EasyGarage,https://www.iGive.com/easygarage,0.8%,Manual Check Required
Eatwith,https://www.iGive.com/eatwith,2.0%,https://www.eatwith.com
eCampus,https://www.iGive.com/ecampus,2.0%,https://www.ecampus.com
Ecosa,https://www.iGive.com/ecosa,0.8%,https://www.ecosa.com
Ecowise Wellnes,https://www.iGive.com/ecowisevitamins,10.0%,https://ecowisevitamins.com
Eddie Bauer,https://www.iGive.com/Eddie-Bauer,1.6%,https://www.eddiebauer.com
Edureka,https://www.iGive.com/edurek,6.0%,https://www.edurek.com
edX,https://www.iGive.com/edX,3.2%,https://www.edx.com
Effy Jewelry,https://www.iGive.com/effyjewelry,1.2%,https://www.effyjewelry.com
Ego Home,https://www.iGive.com/egohome,4.0%,https://egohome.com
eharmony,https://www.iGive.com/eharmony,16.0%,https://www.eharmony.com
Eileen Fisher,https://www.iGive.com/eileen-fisher,1.6%,Manual Check Required
ejuice.deals,https://www.iGive.com/ejuice,2.0%,https://www.ejuice.com
Ekrin Athletics,https://www.iGive.com/Ekrin,4.0%,https://www.ekrin.com
Electrical Wholesalers,https://www.iGive.com/electrical-wholesalers,1.6%,https://www.electricalwholesalers.com
ELEMIS,https://www.iGive.com/elemis,1.6%,https://elemis.com
Elixinol,https://www.iGive.com/elixinol,1.2%,https://elixinol.com
Elizabeth Arden,https://www.iGive.com/elizabetharden,2.8%,https://www.elizabetharden.com
ELOQUII,https://www.iGive.com/eloquii,1.6%,Manual Check Required
eManual Online,https://www.iGive.com/emanual,6.0%,https://emanual.com
Embark Vet,https://www.iGive.com/embark,4.0%,https://www.embark.com
Embassy Suites,https://www.iGive.com/embassy-suites,0.4%,Manual Check Required
Emedco,https://www.iGive.com/emedco,4.0%,https://www.emedco.com
Emjay,https://www.iGive.com/emjay,2.4%,Manual Check Required
EnergyFirst,https://www.iGive.com/energyfirst,0.4%,https://www.energyfirst.com
Enjoy Flowers,https://www.iGive.com/enjoy-flowers,Special Rate,https://enjoyflowers.com
Enterprise Rent-A-Car,https://www.iGive.com/enterprise,0.8%,Manual Check Required
Entertainment Books,https://www.iGive.com/entertainment,11.2%,https://www.entertainment.com
Entertainment Earth,https://www.iGive.com/entertainment-earth,2.0%,https://www.entertainmentearth.com
Entirely Pets,https://www.iGive.com/entirely-pets,2.4%,https://www.entirelypets.com
Epson,https://www.iGive.com/epson,0.8%,https://epson.com
ePumps,https://www.iGive.com/epumps,1.2%,https://www.epumps.com
Equestrian Collections,https://www.iGive.com/equestrian-collections,2.8%,https://www.equestriancollections.com
Erno Laszlo,https://www.iGive.com/erno-laszlo,3.2%,https://ernolaszlo.com
ESET,https://www.iGive.com/store.eset,8.0%,https://www.eset.com
eSmartTax,https://www.iGive.com/esmart-tax,2.0%,Manual Check Required
EssayEdge,https://www.iGive.com/essay-edge,2.0%,https://www.essayedge.com
Estee Lauder,https://www.iGive.com/estee-lauder,1.6%,Manual Check Required
Esurance,https://www.iGive.com/esurance,Special Rate,Manual Check Required
Ethel M Chocolate,https://www.iGive.com/ethel-m,1.2%,Manual Check Required
Ettika,https://www.iGive.com/ettika,2.4%,https://www.ettika.com
Ettitude,https://www.iGive.com/ettitude,1.6%,https://www.ettitude.com
Eufy,https://www.iGive.com/eufy,2.8%,https://www.eufy.com
Europcar,https://www.iGive.com/europcar,2.8%,https://www.europcar.com
Even Hotels,https://www.iGive.com/even-hotels,1.6%,Manual Check Required
EveryPlate,https://www.iGive.com/everyplate,Special Rate,https://www.everyplate.com
Expedia.ca,https://www.iGive.com/expedi,0.8%,https://www.expediaca.com
Expedia.com,https://www.iGive.com/expedia,0.8%,Manual Check Required
Extended Stay America,https://www.iGive.com/extended-stay,1.2%,Manual Check Required
Eyeconic,https://www.iGive.com/eyeconic,1.2%,https://www.eyeconic.com
Eyeglasses.com,https://www.iGive.com/eyeglasses,2.4%,https://www.eyeglasses.com
EZ Lifestyle,https://www.iGive.com/ez-lifestyle,12.0%,https://www.ezlifestyle.com
Fabletics,https://www.iGive.com/fabletics,Special Rate,https://www.fabletics.com
Fairmont Hotels & Resorts,https://www.iGive.com/fairmont,2.0%,https://www.fairmont.com
Fairway Golf,https://www.iGive.com/fairway-golf,2.4%,https://fairwaygolfusa.shop
Famous Footwear,https://www.iGive.com/famous-footwear,0.4%,https://www.famousfootwear.com
Fanatics,https://www.iGive.com/fanatics,0.8%,Manual Check Required
Fancy Sprinkles,https://www.iGive.com/fancysprinkles,2.0%,https://www.fancysprinkles.com
Fare Buzz,https://www.iGive.com/fare-buzz,Special Rate,Manual Check Required
FARFETCH,https://www.iGive.com/farfetch,1.6%,Manual Check Required
Farmhouse Fresh,https://www.iGive.com/farmhouse-fresh,4.0%,https://www.farmhousefresh.com
Fathead,https://www.iGive.com/Fathead,1.2%,https://fathead.com
Faux Wood Beams,https://www.iGive.com/faux-wood-beams,1.2%,https://www.barrondesigns.com
FauxPanels,https://www.iGive.com/fauxpanels,1.2%,https://www.barrondesigns.com
FaxitFast,https://www.iGive.com/fax-it-fast,Special Rate,https://www.faxitfast.com
Faxon,https://www.iGive.com/faxon,2.8%,Manual Check Required
FedEx Office,https://www.iGive.com/Fedex-office,1.2%,Manual Check Required
Felt Paper Scissors,https://www.iGive.com/felt-paper-scissors,2.0%,https://feltpaperscissors.com
Fiber Cables Direct,https://www.iGive.com/fcd,2.4%,https://www.atom.com
Fidelity Denim,https://www.iGive.com/fidelity-denim,4.0%,https://fidelitydenim.com
FiltersFast,https://www.iGive.com/filters-fast,0.4%,https://www.filtersfast.com
Findmypast,https://www.iGive.com/find-my-past,4.0%,https://www.findmypast.com
FineJewelers,https://www.iGive.com/finejewelers,2.0%,Manual Check Required
FineStationery,https://www.iGive.com/fine-stationery,1.2%,https://www.finestationery.com
Finish Line,https://www.iGive.com/finish-line,2.0%,https://www.finish-line.com
Finish Line - Student Exclusive,https://www.iGive.com/studentbeans,Special Rate,https://www.studentbeans.com
Fishwest,https://www.iGive.com/fishwest,3.2%,https://fishwest.com
FitFlop,https://www.iGive.com/fit-flop,4.0%,https://www.fitflop.com
Fiverr,https://www.iGive.com/fiverr,Special Rate,Manual Check Required
Fleet Feet,https://www.iGive.com/fleet-feet,0.4%,https://www.fleetfeet.com
Florsheim,https://www.iGive.com/florsheim,0.8%,https://www.florsheim.com
Florsheim Canada,https://www.iGive.com/florsheim-canada,2.0%,Manual Check Required
Flower Shopping,https://www.iGive.com/flower-shopping,0.4%,https://www.flowershopping.com
Flowers Fast,https://www.iGive.com/flowers-fast,8.0%,Manual Check Required
Fluz,https://www.iGive.com/fluz,Special Rate,Manual Check Required
Flyby,https://www.iGive.com/flyb,4.0%,https://www.atom.com
Flying Noodle,https://www.iGive.com/flying-noodle,1.2%,https://www.flyingnoodle.com
Food Lion,https://www.iGive.com/food-lion,Special Rate,https://www.food-lion.com
Footlocker.com,https://www.iGive.com/footlocker,1.6%,https://www.footlockercom.com
Forbes & Lewis,https://www.iGive.com/forbes-lewis,4.0%,https://www.forbes-lewis.com
FOREO,https://www.iGive.com/foreo,1.4%,https://www.foreo.com
Fotolia,https://www.iGive.com/fotolia,Special Rate,https://stock.adobe.com
FragranceNet,https://www.iGive.com/fragrance,0.4%,https://www.fragrancenet.com
FragranceX,https://www.iGive.com/Fragrance-X,2.0%,https://www.fragrancex.com
Framebridge,https://www.iGive.com/framebridge,1.6%,https://www.framebridge.com
FramesDirect.com,https://www.iGive.com/frames-direct,0.8%,https://www.frames-direct.com
francesca's,https://www.iGive.com/francescas,1.6%,https://francescas.com
Franco Sarto,https://www.iGive.com/franco-sarto,1.2%,Manual Check Required
FranklinPlanner,https://www.iGive.com/franklinplanner,2.4%,https://store.franklinplanner.com
Fred Meyer Jewelers,https://www.iGive.com/fred-meyer-jewelers,6.0%,Manual Check Required
Free Logo Services,https://www.iGive.com/free-logo-services,6.0%,https://www.freelogoservices.com
French Connection,https://www.iGive.com/french-connection,2.0%,https://www.frenchconnection.com
French Toast,https://www.iGive.com/french-toast,2.0%,https://www.frenchtoast.com
From You Flowers,https://www.iGive.com/from-you-flowers,6.0%,https://www.fromyouflowers.com
Fruit Bouquets by 1800Flowers.com,https://www.iGive.com/fruit-bouquets,2.4%,https://www.fruitbouquets.com
FTD,https://www.iGive.com/ftd,2.0%,https://www.ftd.com
FUL,https://www.iGive.com/ful,0.4%,https://ful.com
Furbo Dog Camera,https://www.iGive.com/furbo,4.0%,https://furbo.com
Fuse Lenses,https://www.iGive.com/fuse-lenses,1.2%,https://fuselenses.com
Fyt,https://www.iGive.com/find-your-trainer,Special Rate,https://findyourtrainer.com:443
Gaby's Bags,https://www.iGive.com/gabys-bags,2.0%,https://gabysbags.com
Gaffos,https://www.iGive.com/gaffos,2.0%,https://gaffos.com
Gainful,https://www.iGive.com/gainful,2.4%,https://www.gainful.com
Gallery Direct,https://www.iGive.com/gallery-direct,2.0%,https://www.gallerydirect.com
GameFly,https://www.iGive.com/game-fly,2.0%,https://www.gamefly.com
GamersGate.com,https://www.iGive.com/gamers-gate,2.0%,https://www.gamersgate.com
Gap Canada,https://www.iGive.com/Gap-Canada,1.6%,https://www.gapcanada.ca
Gap Factory,https://www.iGive.com/gap-factory,1.6%,https://www.gapfactory.com
Gap.com,https://www.iGive.com/gap,1.6%,https://www.gap.com
Gardyn,https://www.iGive.com/gardyn,1.6%,https://www.gardyn.com
GDF Studio,https://www.iGive.com/gdf-studio,2.0%,https://gdfstudio.com
Geekbuying,https://www.iGive.com/geekbuying,2.4%,https://www.geekbuying.com
GelPro,https://www.iGive.com/gelpro,2.0%,https://www.gelpro.com
Gem-Water,https://www.iGive.com/gem-water,4.0%,https://www.gemwater.com
Genuine Factory Parts,https://www.iGive.com/mtd-parts,1.6%,https://www.genuinefactoryparts.com
Georgia Boot,https://www.iGive.com/georgia-boot,4.0%,https://georgiaboot.com
German Food Box,https://www.iGive.com/german-food-box,Special Rate,https://germanfoodbox.com
German Slippers,https://www.iGive.com/german-slippers,4.0%,https://www.germanslippers.com
GetSmarter,https://www.iGive.com/get-smarter,1.6%,https://www.getsmarter.com
Getz's,https://www.iGive.com/getzs,3.2%,https://getzs.com
Giant Food,https://www.iGive.com/giantfood,Special Rate,Manual Check Required
GiftCards,https://www.iGive.com/gift-cards,0.4%,https://www.giftcards.com
GiftsForYouNow,https://www.iGive.com/gifts-for-you-now,5.2%,https://www.giftsforyounow.com
Gigi New York,https://www.iGive.com/gigi-ny,3.6%,https://www.giginewyork.com
Gilt,https://www.iGive.com/gilt,1.2%,Manual Check Required
Gilt City,https://www.iGive.com/gilt-city,1.2%,Manual Check Required
GlassesShop,https://www.iGive.com/GlassesShop,4.8%,https://www.glassesshop.com
GlassesUSA,https://www.iGive.com/glasses-usa,1.0%,https://www.glassesusa.com
GlobeIn,https://www.iGive.com/globein,8.0%,https://globein.com:443
Glow Recipe,https://www.iGive.com/glow-recipe,2.8%,https://www.glowrecipe.com
GNC,https://www.iGive.com/gnc,0.4%,https://www.gnc.com
Go City,https://www.iGive.com/gocity,1.2%,https://gocity.com
Go Daddy,https://www.iGive.com/go-daddy,2.0%,Manual Check Required
Goal Zero,https://www.iGive.com/goal-zero,2.0%,https://goalzero.com
GoalieMonkey,https://www.iGive.com/goaliemonkey,0.8%,https://www.goaliemonkey.com
Godiva Chocolatier,https://www.iGive.com/godiva,0.4%,https://www.godiva.com
Gold Medal Wine Club,https://www.iGive.com/gold-medal-wine-club,4.0%,https://goldmedalwineclub.com
Good Sam Roadside Assistance,https://www.iGive.com/good-sam-roadside,0.8%,https://roadside.goodsam.com
Good Vibrations,https://www.iGive.com/good-vibrations,4.0%,https://www.goodvibes.com
Goop,https://www.iGive.com/goop,1.6%,https://goop.com
GoSkills,https://www.iGive.com/goskills,4.0%,https://www.goskills.com
GotPrint,https://www.iGive.com/gotprint,Special Rate,https://www.gotprint.com
Gourmesso,https://www.iGive.com/gourmesso,4.0%,https://www.gourmesso.com
GourmetGiftBaskets.com,https://www.iGive.com/gourmet-gift-baskets,2.0%,https://www.gourmetgiftbaskets.com
GPC Smart,https://www.iGive.com/gpc,4.0%,https://www.georgiapower.com
Grailed,https://www.iGive.com/grailed,0.4%,https://www.grailed.com
Grande Cosmetics,https://www.iGive.com/grande-cosmetics,2.0%,https://grandecosmetics.com
Grassland Beef,https://www.iGive.com/grassland-beef,1.2%,https://grasslandbeef.com
GreaterGood Stores,https://www.iGive.com/greatergood,0.8%,https://greatergood.com
Green Chef,https://www.iGive.com/chef.greenchef,Special Rate,https://www.greenchef.com
Green Man Gaming,https://www.iGive.com/green-man-gaming,0.8%,https://www.greenmangaming.com
GreenPan,https://www.iGive.com/greenpa,1.2%,https://www.greenpa.com
Groundlink,https://www.iGive.com/groundlink,0.4%,Manual Check Required
Groupon,https://www.iGive.com/groupon,0.4%,https://www.groupon.com
Grove Collaborative,https://www.iGive.com/grov,2.0%,https://www.grove.co
Grow Gorgeous,https://www.iGive.com/grow-gorgeous,2.4%,https://www.dermstore.com
Gthic.com,https://www.iGive.com/gthic,4.8%,https://gthic.com
GUESS.com,https://www.iGive.com/shop.guess,1.6%,https://www.guess.com
Guild Wars 2,https://www.iGive.com/buy.guildwars2,4.0%,Manual Check Required
H&R Block,https://www.iGive.com/hr-block,0.4%,Manual Check Required
H10 Hotels,https://www.iGive.com/H10 Hotels,1.6%,https://www.h10hotels.com
Haggar,https://www.iGive.com/haggar,2.0%,https://www.haggar.com
Hallelujah Diet,https://www.iGive.com/hallelujah-diet,6.0%,https://myhdiet.com
Hamilton Beach,https://www.iGive.com/hamilton-beach,2.4%,https://hamiltonbeach.com
Hampden Clothing,https://www.iGive.com/hampden,2.4%,https://www.hampden.com
Handy,https://www.iGive.com/handy,Special Rate,https://www.handy.com
Hanes,https://www.iGive.com/hanes,0.4%,Manual Check Required
Hansen Surfboards,https://www.iGive.com/hansen-surfboards,2.4%,Manual Check Required
Happsy,https://www.iGive.com/happsy,3.2%,https://happsy.com
Harry & David,https://www.iGive.com/harryanddavid,0.8%,https://www.harryanddavid.com
Harry's,https://www.iGive.com/harrys,0.4%,https://www.harrys.com
Hartmann,https://www.iGive.com/hartmann,2.0%,https://shop.hartmann.com
Harvey Nichols,https://www.iGive.com/harvey-nichols,0.8%,https://www.harveynichols.com
Hatley,https://www.iGive.com/hatley,1.6%,https://hatley.com
Hawaii Coffee Company,https://www.iGive.com/hawaii-coffee,4.0%,https://hawaiicoffee.com
HBX,https://www.iGive.com/hbx,1.2%,https://hbx.com
HDIS,https://www.iGive.com/hdis,4.0%,Manual Check Required
"Health, Fitness and Longevity",https://www.iGive.com/4hfl,6.0%,Manual Check Required
Health-Ade,https://www.iGive.com/health-ade,2.0%,https://health-ade.com
Health-o-Meter,https://www.iGive.com/health o meter,3.2%,https://www.healthometer.com
Health-o-Meter Nuyu,https://www.iGive.com/health o meter-nuyu,3.2%,Manual Check Required
HealthyBaby,https://www.iGive.com/healthybaby,1.6%,https://healthybaby.com
HearthSong,https://www.iGive.com/hearth-song,2.0%,https://www.hearthsong.com
Heartland Veterinary Supply,https://www.iGive.com/heartland-vet-supply,2.4%,Manual Check Required
Heist,https://www.iGive.com/heist,2.8%,https://heist.com:443
HelloMolly,https://www.iGive.com/hello-molly,1.2%,https://www.hellomolly.com
Helmm,https://www.iGive.com/helmm,4.0%,https://www.helmm.com
Hemp Bombs,https://www.iGive.com/hemp-bombs,4.0%,Manual Check Required
Henry's,https://www.iGive.com/henrys,0.4%,https://www.henrys.com
HerRoom,https://www.iGive.com/herroom,1.6%,Manual Check Required
Herschel Supply Company,https://www.iGive.com/herschel,1.6%,https://herschel.com
Hertz,https://www.iGive.com/hertz,1.2%,https://www.hertz.com
Heshi,https://www.iGive.com/heshi,6.4%,Manual Check Required
Hickory Farms,https://www.iGive.com/hickory-farms,2.0%,https://www.hickoryfarms.com
Hidden 24,https://www.iGive.com/hidden24,Special Rate,https://www.hidden24.com
Highlights For Children,https://www.iGive.com/highlights-catalog,1.6%,Manual Check Required
Hipstik Legwear,https://www.iGive.com/hipstik,4.4%,https://hipstiks.com
HisRoom,https://www.iGive.com/his-room,1.6%,https://www.his-room.com
HobbyTron,https://www.iGive.com/hobbytron,4.8%,https://hobbytron.com
HockeyMonkey,https://www.iGive.com/hockeymonkey,0.8%,https://www.hockeymonkey.com
Holabird Sports,https://www.iGive.com/holabird-sports,2.0%,https://www.holabirdsports.com
Holiday Inn,https://www.iGive.com/holiday-inn,1.6%,Manual Check Required
Holiday Inn Express,https://www.iGive.com/hiexpress,1.6%,Manual Check Required
Holmes,https://www.iGive.com/Holmes,2.4%,Manual Check Required
Home Chef,https://www.iGive.com/homechef,Special Rate,https://www.homechef.com
Home Depot,https://www.iGive.com/homedepot,0.4%,Manual Check Required
Homesick Candles,https://www.iGive.com/homesick,2.4%,https://homesick.com
Horizon Fitness,https://www.iGive.com/horizon-fitness,2.0%,https://www.horizonfitness.com
Horse.com,https://www.iGive.com/horse,1.6%,https://www.horse.com
HorseLoverZ,https://www.iGive.com/HorseLoverZ,2.8%,https://www.horseloverz.com
HostPapa,https://www.iGive.com/hostpapa,6.0%,https://www.hostpapa.com
Hot Shot's Secret,https://www.iGive.com/hot-shots-secret,3.2%,https://www.hotshotsecret.com
Hot Topic,https://www.iGive.com/hot-topic,0.4%,https://www.hottopic.com
Hotel Indigo,https://www.iGive.com/hotel-indigo,1.6%,Manual Check Required
Hotelogical,https://www.iGive.com/awin.hotelogical,1.2%,https://www.hotelogical.com
Hotelopia,https://www.iGive.com/hotelopia,2.0%,Manual Check Required
Hotels.com,https://www.iGive.com/Hotels,0.8%,Manual Check Required
Hover,https://www.iGive.com/hover,10.0%,https://www.hover.com
HQhair,https://www.iGive.com/hqhair,2.0%,https://www.lookfantastic.com
HRdirect,https://www.iGive.com/hrdirect,6.0%,Manual Check Required
HSN,https://www.iGive.com/hsn,3.2%,Manual Check Required
Hue,https://www.iGive.com/hue,0.4%,https://hue.com
Hydrow,https://www.iGive.com/hydrow,1.2%,https://hydrow.com
I Saw It First,https://www.iGive.com/isawitfirst,0.4%,Manual Check Required
i-Blason,https://www.iGive.com/i-blason,3.2%,https://www.i-blason.com
IBEROSTAR USA,https://www.iGive.com/iberostar,2.8%,Manual Check Required
IBSformula,https://www.iGive.com/ibs-formula,6.0%,https://www.supernaturalshealth.com
iCheapFlight,https://www.iGive.com/icheap-flight,Special Rate,Manual Check Required
IDENTILOCK,https://www.iGive.com/getidentilock,4.0%,https://getidentilock.com
iHerb,https://www.iGive.com/iherb,2.0%,Manual Check Required
IHG Hotels & Resorts,https://www.iGive.com/ihg,1.6%,Manual Check Required
Illy Cafe,https://www.iGive.com/illy,1.6%,Manual Check Required
ILoveDooney,https://www.iGive.com/i-love-dooney,1.6%,https://www.ilovedooney.com
Impromptu Gourmet,https://www.iGive.com/impromptu-gourmet,1.6%,Manual Check Required
InkCartridges,https://www.iGive.com/ink-cartridges,6.4%,https://www.inkcartridges.com
Inkopious,https://www.iGive.com/inkopious,4.0%,https://inkopious.com
Insight Vacations,https://www.iGive.com/insight-vacations,2.0%,https://www.insightvacations.com
Instacart,https://www.iGive.com/instacart,Special Rate,https://www.instacart.com
Intechra Health,https://www.iGive.com/intechra-health,8.0%,https://intechrahealth.com
Intego Mac Software,https://www.iGive.com/intego,20.0%,https://www.intego.com
International Wine of the Month Club,https://www.iGive.com/International-Wine-of-the-Month-Club,Special Rate,Manual Check Required
Intimina,https://www.iGive.com/intimina,4.0%,https://www.intimina.com
Investintech,https://www.iGive.com/investintech,12.0%,https://www.investintech.com
Invigorated Water,https://www.iGive.com/invigorated-water,6.0%,https://invigoratedwater.com
iolo technologies,https://www.iGive.com/iolo,24.0%,https://www.iolo.com
iRobot,https://www.iGive.com/irobot,0.8%,https://www.irobot.com
ISA Professional,https://www.iGive.com/isa-professional,4.0%,https://www.isa-professional.com
Isle Casino Hotel Waterloo,https://www.iGive.com/isle-waterloo,2.0%,Manual Check Required
Isotonix,https://www.iGive.com/isotonix,2.0%,Manual Check Required
IWED Global,https://www.iGive.com/iwed,Special Rate,https://www.iwed.com
IWOOT,https://www.iGive.com/iwantoneofthose,0.4%,https://iwantoneofthose.com
J&P Cycles,https://www.iGive.com/jp-cycles,0.8%,https://www.jpcycles.com
J. Crew Factory,https://www.iGive.com/factory.jcrew,1.2%,Manual Check Required
Jachs NY,https://www.iGive.com/jachs-ny,2.4%,https://www.jachsny.com
Jack Rogers,https://www.iGive.com/jackrogers,2.0%,Manual Check Required
JacksonGalaxy.com,https://www.iGive.com/jackson-galaxy,3.2%,https://www.jacksongalaxy.com
jAlbum,https://www.iGive.com/jalbum,4.0%,Manual Check Required
JanSport,https://www.iGive.com/jansport,0.8%,https://www.jansport.com
Jayson Home,https://www.iGive.com/jayson-home,2.4%,https://www.jaysonhome.com
JCPenney,https://www.iGive.com/jcpenney,1.2%,https://www.jcpenney.com
JCWhitney,https://www.iGive.com/JC-Whitney,0.4%,https://www.jcwhitney.com
JellyBuddy,https://www.iGive.com/jelly-buddy,0.8%,Manual Check Required
JerkFit,https://www.iGive.com/jerkfit,2.0%,https://jerkfit.com
Jetson,https://www.iGive.com/jetson,2.0%,https://jetson.com
Jewlr,https://www.iGive.com/jewlr,0.8%,https://www.jewlr.com
JINsoon,https://www.iGive.com/jinsoon,1.6%,https://jinsoon.com
Jo Malone London,https://www.iGive.com/jo-malone,2.4%,https://www.jo-malone.com
Job Ready Programmer,https://www.iGive.com/job-ready,4.0%,https://www.job-ready.com
JOE'S,https://www.iGive.com/joesjeans,2.0%,https://www.joesjeans.com
Joe's New Balance Outlet,https://www.iGive.com/joes-new-balance-outlet,0.8%,Manual Check Required
John Hardy Jewelry,https://www.iGive.com/john-hardy-jewelry,1.2%,Manual Check Required
Johnston & Murphy,https://www.iGive.com/johnston-murphy,2.8%,https://www.johnstonmurphy.com
JosABank.com,https://www.iGive.com/jos-a-bank,1.2%,Manual Check Required
Journeys,https://www.iGive.com/journeys,2.4%,https://www.journeys.com
JTV Jewelry Television,https://www.iGive.com/jewelrytelevision,0.4%,https://www.jtv.com
JUARA Skincare,https://www.iGive.com/juara,4.0%,https://www.juaraskincare.com
Jumpsport,https://www.iGive.com/jumpsport,0.8%,https://www.jumpsport.com
JunoActive,https://www.iGive.com/junoactive,1.2%,https://junoactive.com
Just Blinds,https://www.iGive.com/just-blinds,0.8%,Manual Check Required
Just CBD,https://www.iGive.com/justcbd,7.2%,https://www.justcbd.com
JustAnswer,https://www.iGive.com/just-answer,Special Rate,Manual Check Required
Justice,https://www.iGive.com/justice,2.0%,https://www.findlaw.com
Kaplan MD,https://www.iGive.com/kaplan-md,4.0%,https://www.kaplanmd.com
Kaplan Test Prep,https://www.iGive.com/kaplan,1.2%,Manual Check Required
Karl's Bait and Tackle,https://www.iGive.com/karls,Special Rate,https://karls.de
Karmaloop,https://www.iGive.com/karmaloop,2.4%,https://www.karmaloop.com
Karuna,https://www.iGive.com/karuna,4.0%,Manual Check Required
Kat Von D Beauty,https://www.iGive.com/kat-von-d-beauty,2.4%,Manual Check Required
Kay Jewelers,https://www.iGive.com/kay,0.8%,Manual Check Required
Keds,https://www.iGive.com/keds,3.2%,https://www.keds.com
Keeper Security,https://www.iGive.com/keeper-security,4.0%,https://www.keepersecurity.com
Kenneth Cole,https://www.iGive.com/kenneth-cole,6.8%,https://www.kennethcole.com
Kerastase,https://www.iGive.com/kerastase-usa,2.4%,Manual Check Required
Kerastase Canada,https://www.iGive.com/kerastas,2.4%,Manual Check Required
Keto Cycle,https://www.iGive.com/keto-cycle,Special Rate,Manual Check Required
Keurig,https://www.iGive.com/keurig,1.6%,Manual Check Required
kidpik,https://www.iGive.com/kidpik,4.0%,https://www.kidpik.com
Kids Foot Locker,https://www.iGive.com/kids-foot-locker,1.6%,Manual Check Required
KidsShoes by plae,https://www.iGive.com/kidsshoes,0.4%,https://www.kidsshoes.com
Kiehl's,https://www.iGive.com/kiehls,3.2%,Manual Check Required
Kindred Bravely,https://www.iGive.com/kindred-bravely,0.4%,https://www.kindredbravely.com
Kingsbottle,https://www.iGive.com/kingsbottle,2.0%,https://kingsbottle.com
KitchenAid Major Appliances,https://www.iGive.com/kitchenaid,0.8%,Manual Check Required
KiwiCo,https://www.iGive.com/Kiwi-Crate,4.0%,https://www.kiwico.com:443
Kiyonna Clothing,https://www.iGive.com/kiyonna,3.2%,https://www.kiyonna.com
Knights Inn,https://www.iGive.com/knights-inn,1.2%,https://www.knightsinn.com
Knose,https://www.iGive.com/knose,4.0%,https://www.knose.com
Kohl's,https://www.iGive.com/kohls,1.2%,Manual Check Required
Koi Footwear,https://www.iGive.com/koi-footwear,0.4%,https://www.koifootwear.com
Kole Imports,https://www.iGive.com/kole-imports,1.2%,https://www.koleimports.com
Kooding,https://www.iGive.com/kooding,2.8%,Manual Check Required
Kora,https://www.iGive.com/kora,2.4%,https://kora.com
Korres,https://www.iGive.com/korres,2.0%,https://www.korres.com
Kremp Florist,https://www.iGive.com/kremp,1.4%,https://www.kremp.com
Kuhl,https://www.iGive.com/kuhl,2.4%,https://www.kuhl.com
Kut from the Kloth,https://www.iGive.com/kut,3.2%,https://www.kut.com
Kwiat,https://www.iGive.com/kwiat,2.0%,https://kwiat.com
L'Occitane,https://www.iGive.com/loccitane,1.0%,https://www.loccitane.com
L.L. Bean,https://www.iGive.com/ll-bean,1.2%,https://www.llbean.com
La Roche Posay,https://www.iGive.com/la-roche-posay,3.2%,https://www.larocheposay.com
La Senza,https://www.iGive.com/la-senza,2.8%,https://www.lasenza.com
Lab Series,https://www.iGive.com/lab-series,3.2%,https://www.labseries.com
Lacrosse Monkey,https://www.iGive.com/lacrosse-monkey,0.8%,https://www.lacrossemonkey.com
Lancer,https://www.iGive.com/lancer,0.8%,https://www.atom.com
Lands' End,https://www.iGive.com/landsend,1.6%,Manual Check Required
