store_name,igive_url,donation_rate,actual_store_url
Brother Canada,https://www.iGive.com/brothe,1.6%,https://www.brothe.com
Buffalo Jackson,https://www.iGive.com/buffalo-jackson,3.2%,https://buffalojackson.com
BuffaloJeans.com,https://www.iGive.com/buffalo-jeans,1.6%,https://www.buffalojeans.com
Bullstrap,https://www.iGive.com/bullstra,4.0%,https://bullstrap.com
Bumble and Bumble,https://www.iGive.com/bumble-and-bumble,2.4%,Manual Check Required
Burpee Gardening,https://www.iGive.com/burpee,2.0%,Manual Check Required
BuyWake.com,https://www.iGive.com/buywake,3.6%,https://buywake.com
Cabela's,https://www.iGive.com/cabelas,0.4%,Manual Check Required
Caesars Entertainment Atlantic City,https://www.iGive.com/caesars,1.2%,https://www.caesars.com
Cafe Britt Gourmet Coffee,https://www.iGive.com/cafe-britt,3.2%,https://www.cafebritt.com
Caire Beauty,https://www.iGive.com/caire-beauty,4.8%,https://www.cairebeauty.com
Calendars.com,https://www.iGive.com/calendars,4.0%,https://www.calendars.com
Callaway Golf,https://www.iGive.com/callaway-golf,3.6%,https://www.callawaygolf.com
Callaway Golf Pre Owned,https://www.iGive.com/callaway-golf-pre-owned,2.4%,https://www.callawaygolfpreowned.com
Calm by Wellness,https://www.iGive.com/calm-by-wellness,6.0%,https://www.calmbywellness.com
Calvin Klein,https://www.iGive.com/calvin-klein,0.8%,Manual Check Required
Cambria Hotels & Suites,https://www.iGive.com/cambria,0.8%,https://www.cambria.com
Cameron's Seafood,https://www.iGive.com/camerons-seafood,0.8%,https://www.cameronsseafood.com
Cami NYC,https://www.iGive.com/cami-nyc,1.2%,https://www.caminyc.com
Camp Chef,https://www.iGive.com/camp-chef,2.0%,https://www.campchef.com
Camping World,https://www.iGive.com/camping-world,0.8%,https://www.campingworld.com
CAMPMOR,https://www.iGive.com/campmor,1.0%,https://www.campmor.com
Canadian Down & Feather Company,https://www.iGive.com/canadian-down,0.4%,Manual Check Required
Candlewood Suites,https://www.iGive.com/candlewood-suites,1.6%,Manual Check Required
Canon eStore,https://www.iGive.com/canon,1.0%,https://global.canon
Canon Shop Canada,https://www.iGive.com/canon-estore-canada,1.2%,Manual Check Required
Canvas HQ,https://www.iGive.com/canvas-hq,4.0%,Manual Check Required
Canvas On Demand,https://www.iGive.com/canvas-on-demand,3.2%,https://www.canvasondemand.com
Canvas Press,https://www.iGive.com/canvas-press,2.8%,Manual Check Required
Canvaspeople,https://www.iGive.com/canvas-people,3.2%,https://www.canvaspeople.com
CanvasWorld,https://www.iGive.com/canvasworld,4.0%,https://www.canvasworld.com
Capitol Lighting,https://www.iGive.com/1800lighting,1.6%,Manual Check Required
Cardboard Cutout Standees,https://www.iGive.com/cardboard-cutout,1.2%,https://www.cardboardcutoutstandees.com
CardCash,https://www.iGive.com/card-cash,0.8%,https://www.cardcash.com
Carhartt,https://www.iGive.com/carhartt,0.4%,Manual Check Required
Carl's Golfland,https://www.iGive.com/carls-golfland,1.6%,https://www.carlsgolfland.com
Carmel Car & Limo,https://www.iGive.com/carmel-car,3.0%,Manual Check Required
Carmen Sol,https://www.iGive.com/carmen-sol,2.0%,https://carmensol.com
Carol's Daughter,https://www.iGive.com/carols-daughter,3.2%,https://carolsdaughter.com
Carolina,https://www.iGive.com/Carolina,1.6%,https://www.carolina.com
Carter's,https://www.iGive.com/carters,0.8%,Manual Check Required
Casetify,https://www.iGive.com/casetify,2.0%,https://www.casetify.com
Cashmere Boutique,https://www.iGive.com/cashmere-boutique,2.8%,https://www.cashmere-boutique.com
Cat Footwear,https://www.iGive.com/cat-footwear,2.8%,https://www.catfootwear.com
Cats Play,https://www.iGive.com/cats-play,2.4%,https://www.catsplay.com
Caudalie,https://www.iGive.com/caudalie,0.8%,https://www.caudalie.com
Caudalie CA,https://www.iGive.com/ca-en.caudalie,1.6%,https://www.caudalie.com
CBDistillery,https://www.iGive.com/cbdistillery,8.0%,Manual Check Required
Certified Piedmontese,https://www.iGive.com/piedmontese,6.0%,https://www.piedmontese.com
Chacos,https://www.iGive.com/chaco,3.2%,https://www.chacos.com
Chadwicks of Boston,https://www.iGive.com/chadwicks,2.0%,https://www.chadwicks.com
Champion,https://www.iGive.com/champion,3.2%,https://www.champion.com
Chantelle Lingerie,https://www.iGive.com/chantelle,3.2%,https://chantelle.com
Char-Broil,https://www.iGive.com/char-broil,0.4%,https://www.charbroil.com
Charles Tyrwhitt,https://www.iGive.com/charles-tyrwhitt,0.8%,https://www.charlestyrwhitt.com
Charlotte Russe,https://www.iGive.com/charlotterusse,0.8%,https://charlotterusse.com
cheapOair,https://www.iGive.com/cheapoair,Special Rate,Manual Check Required
cheapOair Canada,https://www.iGive.com/cheapoai,Special Rate,Manual Check Required
CheapTickets,https://www.iGive.com/cheap-tickets,0.4%,https://www.cheap-tickets.com
Checks In The Mail,https://www.iGive.com/checks-in-the-mail,6.4%,https://secure.checksinthemail.com
CheckWorks,https://www.iGive.com/check-works,10.0%,https://checkworks.com:443
Cheesecake,https://www.iGive.com/cheesecake,2.0%,https://www.cheesecake.com
Cheryl's,https://www.iGive.com/cheryls,2.4%,https://www.cheryls.com
Chesapeake Bay Crab Cakes & More,https://www.iGive.com/cbcrabcakes,1.6%,https://www.cbcrabcakes.com
Chess Bazaar,https://www.iGive.com/chess-bazaar,2.0%,https://chessbazaar.com
Chewy,https://www.iGive.com/chewy,0.4%,Manual Check Required
Chewy Canada,https://www.iGive.com/https://chewy.co,3.2%,Manual Check Required
Chicago Steak Company,https://www.iGive.com/chicago-steak-company,3.2%,Manual Check Required
Chico's,https://www.iGive.com/chicos,1.6%,https://www.chicos.com
Chippin,https://www.iGive.com/chippin,8.0%,Manual Check Required
Chrome Battery,https://www.iGive.com/chrome-battery,4.0%,https://chromebattery.com
Chupi,https://www.iGive.com/chupi,4.0%,https://www.chupi.com
Circus Circus Reno,https://www.iGive.com/Circus-circus,2.0%,https://www.circuscircus.com
CitizenM,https://www.iGive.com/citizen-m,2.4%,https://www.marriott.com
Clark's Botanicals,https://www.iGive.com/clarks-botanicals,10.8%,https://clarksbotanicals.com
Clarks,https://www.iGive.com/clarks,1.6%,https://www.clarks.com
Clinique Online,https://www.iGive.com/clinique,1.6%,Manual Check Required
COACH,https://www.iGive.com/coach,0.8%,Manual Check Required
CocoaVia,https://www.iGive.com/cocoavia,3.2%,https://www.cocoavia.com
Cocoon by Sealy,https://www.iGive.com/Cocoon-by-Sealy,2.8%,https://www.cocoonbysealy.com
Coffee.org,https://www.iGive.com/coffee,2.4%,https://coffee.org
Cole Haan,https://www.iGive.com/colehaan,0.8%,https://www.colehaan.com
Colorful Images,https://www.iGive.com/colorful-images,1.2%,https://www.colorfulimages.com
Columbia Sportswear,https://www.iGive.com/columbia,2.0%,https://www.columbia.com
Concealment Express,https://www.iGive.com/concealment-express,3.0%,https://www.roundedgear.com
Conn's HomePlus,https://www.iGive.com/conns,1.6%,Manual Check Required
Conrad,https://www.iGive.com/conrad-hotels,0.4%,https://www.conrad.com
Contiki,https://www.iGive.com/contiki,2.0%,https://www.contiki.com
Contorno Belts,https://www.iGive.com/contorno-belts,12.0%,Manual Check Required
Cookies by Design,https://www.iGive.com/cookies-by-design,2.0%,https://www.cookiesbydesign.com
Cooper's Cask Coffee,https://www.iGive.com/coopers-cask-coffee,4.0%,https://www.cooperscoffeeco.com
Corel Software,https://www.iGive.com/corel-software,4.0%,Manual Check Required
Cos Bar,https://www.iGive.com/cos-bar,0.8%,https://cosbar.com
COSMEDIX,https://www.iGive.com/cosmedix,3.2%,https://www.cosmedix.com
Cotopaxi,https://www.iGive.com/cotopaxi,2.4%,https://www.cotopaxi.com
Country Inns & Suites By Radisson,https://www.iGive.com/country-inns,2.4%,Manual Check Required
Country Store Catalog,https://www.iGive.com/countrystorecatalog,2.0%,https://www.countrystorecatalog.com
Covers and All,https://www.iGive.com/covers-and-all,0.4%,https://www.coversandall.com
Cricut,https://www.iGive.com/cricut,1.6%,https://cricut.com
Crocs Canada,https://www.iGive.com/croc,3.2%,Manual Check Required
Crocs.com,https://www.iGive.com/crocs,1.6%,Manual Check Required
Crowne Plaza,https://www.iGive.com/crowne-plaza,1.6%,Manual Check Required
CruiseDirect,https://www.iGive.com/cruise-direct,1.2%,https://www.cruisedirect.com
Crutchfield.com,https://www.iGive.com/crutchfield,2.2%,https://www.crutchfield.com
Crystal Plus,https://www.iGive.com/crystal-plus,3.2%,https://www.crystalplus.com
Cub Cadet,https://www.iGive.com/cub-cadet,1.6%,https://www.cubcadet.com
Cupshe,https://www.iGive.com/cupshe,0.8%,https://www.cupshe.com
Current Catalog,https://www.iGive.com/current-catalog,1.2%,https://www.currentcatalog.com
Cutter & Buck,https://www.iGive.com/cutter-buck,2.0%,https://cutterbuck.com
CVS.com,https://www.iGive.com/cvs,0.8%,https://www.cvs.com
CyberLink,https://www.iGive.com/cyberlink,0.4%,https://www.cyberlink.com
Cylance,https://www.iGive.com/cylance,12.0%,https://arcticwolf.com
D'Artagnan,https://www.iGive.com/dartagnan,0.4%,https://www.dartagnan.com
Daily Sale,https://www.iGive.com/daily-sale,2.0%,https://dailysale.com
Dailygreatness,https://www.iGive.com/dailygreatnes,4.0%,https://www.dailygreatness.com
DailySteals,https://www.iGive.com/daily-steals,1.2%,https://dailysteals.com
Dana Rebecca Designs,https://www.iGive.com/dana-rebecca,0.8%,https://www.danarebeccadesigns.com
Darn Tough,https://www.iGive.com/darn-tough,0.3%,https://darntough.com
Darphin Paris,https://www.iGive.com/darphin,2.4%,Manual Check Required
David's Cookies,https://www.iGive.com/davids-cookies,2.4%,https://davidscookies.com
DAVIDsTEA,https://www.iGive.com/davidstea,0.8%,https://davidstea.com
DC Shoes,https://www.iGive.com/dc-shoes,1.2%,https://www.dcshoes.com
Dearfoams,https://www.iGive.com/dearfoams,0.4%,https://www.dearfoams.com
DeBragga,https://www.iGive.com/debragga,1.2%,https://www.debragga.com
Decadent Minimalist,https://www.iGive.com/decadent-minimalist,4.0%,https://decadentminimalist.com
DeepDiscount.com,https://www.iGive.com/deep-discount,1.6%,Manual Check Required
Dell Home & Home Office,https://www.iGive.com/deals.dell,1.6%,Manual Check Required
Dell Refurbished Computers,https://www.iGive.com/dell-refurbished,2.0%,Manual Check Required
Dell Technologies,https://www.iGive.com/dell,1.6%,Manual Check Required
Demdaco,https://www.iGive.com/demdaco,2.0%,https://www.demdaco.com
Denby Pottery,https://www.iGive.com/denby,1.2%,https://www.denby.com
